DATE,SATCH-DAY,SATCH-NIGHT,SATCH-TOT,LSE-DAY,LSE-NIGHT,LSE-TOT,TOTAL,LSE-PERCENT
2022-06-02,2243,3165,5408,739,1639.0,2378,7786.0,0.30541998458772157
2022-06-03,2954,4396,7351,1225,4035.0,5260,12611.0,0.41709618586947905
2022-06-02,3474,5538,9012,1683,1961.0,3643,12655.0,0.2878704069537732
2022-05-24,2276,3587,5864,799,1928.0,2728,8591.0,0.3175416133162612
2022-05-25,2321,3178,5499,824,1903.0,2727,8226.0,0.33150984682713347
2022-05-26,1944,3717,5115,976,2025.0,3001,8116.0,0.36976343026121244
2022-05-27,3159,5880,9049,1465,3234.0,4699,13748.0,0.3417951702065755
2022-05-28,3773,5285,9058,1152,2708.0,3860,12918.0,0.29880786499458123
2022-05-17,2250,2296,4546,718,1460.0,2178,6724.0,0.32391433670434266
2022-05-18,1961,2368,4329,938,2006.0,2944,7273.0,0.40478482056922865
2022-05-19,1999,4190,6189,796,1943.0,2740,8928.0,0.30689964157706096
2022-05-20,3664,4951,8615,1434,2986.0,4421,13036.0,0.3391377723227984
2022-05-21,3978,5277,9255,1900,2925.0,4856,14080.0,0.34488636363636366
2022-05-10,1864,2279,4143,1020,1492.0,2512,6656.0,0.37740384615384615
2022-05-11,2463,3269,5731,1017,1994.0,3011,8743.0,0.34438979755232757
2022-05-12,2016,3798,5814,832,2074.0,2907,8721.0,0.3333333333333333
2022-05-13,2554,5573,8126,1285,3044.0,4329,12455.0,0.34757125652348453
2022-05-14,3052,4427,7453,1603,2751.0,4354,11807.0,0.3687642923689337
2022-05-03,3251,3779,7030,1133,1311.0,2444,9475.0,0.2579419525065963
2022-05-04,2033,2701,4734,691,1720.0,2411,7145.0,0.33743876836948916
2022-05-05,1988,2634,4622,785,1949.0,2733,7355.0,0.3715839564921822
2022-05-06,3342,4157,7600,1235,2536.0,3771,11371.0,0.33163310175006594
2022-05-07,3731,4412,8143,1709,2479.0,4189,12332.0,0.3396853713915018
2022-04-26,2745,5836,8582,1181,2297.0,3478,12059.0,0.2884152914835393
2022-04-27,2721,3717,6439,1139,1722.0,2861,9301.0,0.30760133318997956
2022-04-28,2945,5729,8675,1277,3042.0,4320,12995.0,0.3324355521354367
2022-04-29,4450,7184,11634,1703,3129.0,4832,16466.0,0.2934531762419531
2022-04-30,5862,6873,12735,3361,3766.0,7127,19862.0,0.35882589870103715
2022-04-19,2348,4404,6752,1087,1522.0,2609,9361.0,0.27870953957910477
2022-04-20,2484,3676,6160,807,2998.0,3805,9966.0,0.38179811358619303
2022-04-21,2449,4057,6506,1012,2708.0,3720,10227.0,0.3637430331475506
2022-04-22,3152,5713,8864,1148,4008.0,5157,14021.0,0.36780543470508525
2022-04-23,5424,6608,12032,2702,3049.0,5751,17784.0,0.3233805668016194
2022-04-12,2107,3878,5985,826,1950.0,2776,8761.0,0.31685880607236616
2022-04-13,2480,3681,6161,893,2502.0,3395,9557.0,0.3552369990582819
2022-04-14,2660,3673,6333,922,2285.0,3207,9540.0,0.3361635220125786
2022-04-15,5909,5428,11337,1997,3323.0,5320,16658.0,0.31936607035658543
2022-04-16,4659,5746,10405,2096,3872.0,5968,16373.0,0.3645025346607219
2022-04-05,2033,3442,5475,922,2212.0,3137,8608.0,0.36442843866171004
2022-04-06,1581,3576,5157,714,2025.0,2738,7895.0,0.3468017732742242
2022-04-07,1623,3702,5325,1139,2259.0,3398,8723.0,0.38954488134816
