2018,DATE,LUNCH,DINNER,SATCH Z,LSE DAY,lse night,LSE,TOTAL,Notes or Cater,,,,
Saturday,4/21/2018,5217,6402,11619,,,2762,14381,*cashed that 580 cater out in the day,,,,
total,,,,,,,10751,46927,,,,,
LSE%,,,,,,,23%,,,,,,
Tuesday,4/10/2018,1380,2217,3598,,,1673,5271,rainy,,,,
Wednesday,4/11/2018,1649,3511,5160,,,1700,6860,,,,,
Thursday,4/12/2018,2054,3009,5063,,,900,5963,,,,,
Friday,4/13/2018,2744,6267,9011,,,3586,12597,,,,,
Saturday,4/14/2018,5241,7013,12254,,,5030,17284,Orange and Blue @ 3 LSE slammed @ 5. Need 3 back there.,,,,
total,,,,,,,12889,53145,,,,,
LSE%,,,,,,,24%,,,,,,
Tuesday,4/3/2018,1873,4032,5905,,,1401,7306,,,,,
Wednesday,4/4/2018,2093,3493,5585,,,1538,7123,,,,,
Thursday,4/5/2018,1744,5172,6916,,,2228,9144,$850 cater nite cashed out,,,,
Friday,4/6/2018,2727,6220,8947,,,3333,12280,,,,,
Saturday,4/7/2018,5209,6006,11215,,,3581,14796,,,,,
total,,,,,,,12081,50649,,,,,
LSE%,,,,,,,24%,,,,,,
Tuesday,3/27/2018,2635,3818,6453,,,1134,7587,,,,,
Wednesday,3/28/2018,2846,4322,7168,,,2005,9173,,,,,
Thursday,3/29/2018,3266,3986,7252,,,1651,8903,,,,,
Friday,3/30/2018,4234,5885,10119,,,4107,14227,cater day 300 & cater nite 580 both cashed out,,,,
Saturday,3/31/2018,4766,7188,11954,,,2363,14317,cater nite 630 cashed out,,,,
total,,,,,,,11261,54213,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,3/20/2018,1546,3291,4837,,,1237,6074,,,,,
Wednesday,3/21/2018,2535,3331,5866,,,1496,7362,,,,,
Thursday,3/22/2018,2989,4624,7413,,,2007,9420,cater day 325 nite 427 - UF (not cashed out),,,,
Friday,3/23/2018,3099,6477,9576,,,2932,12509,cater day 390 UF (not cashed out),,,,
Saturday,3/24/2018,4818,6699,11517,,,3652,15169,,,,,
total,,,,,,,11325,50536,,,,,
LSE%,,,,,,,22%,,,,,,
Tuesday,3/13/2018,2461,5181,7642,,,2286,9928,"1,000 Ukelele night in LSE",,,,
Wednesday,3/14/2018,1983,4469,6452,,,1951,8404,Trivia,,,,
Thursday,3/15/2018,2490,4927,7417,,,1512,8929,Gatornationals,,,,
Friday,3/16/2018,3139,6904,10043,,,2690,12734,,,,,
Saturday,3/17/2018,3667,6758,10425,,,2302,12727,,,,,
total,,,,,,,10742,52724,,,,,
LSE%,,,,,,,20%,,,,,,
Tuesday,3/6/2018,1790,3014,4804,,,1314,6118,,,,,
Wednesday,3/7/2018,2052,3689,5741,,,870,6611,,,,,
Thursday,3/8/2018,2427,3805,6232,,,2228,8460,day cater 350 - pay pal so not on Z - Vowls in LSE,,,,
Friday,3/9/2018,3041,5218,8259,,,2139,10398,,,,,
Saturday,3/10/2018,3646,6602,10248,,,2885,13133,LSE day 1112,,,,
total,,,,,,,9436,44720,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,2/27/2018,1820,3035,4855,,,1675,6530,covert political takeover in LSE,,,,
Wednesday,2/28/2018,1522,3182,4704,,,1988,6693,,,,,
Thursday,3/1/2018,1807,3827,5634,,,1194,6828,,,,,
Friday,3/2/2018,2111,6036,8147,,,2620,10767,night cater 747,,,,
Saturday,3/3/2018,5062,5681,10743,,,3044,13787,Gators v KY home noon,,,,
total,,,,,,,10521,44606,,,,,
LSE%,,,,,,,24%,,,,,,
Tuesday,2/20/2018,1679,3078,4757,,,1097,5854,eighty degree,,,,
Wednesday,2/21/2018,1954,3473,5427,,,1612,7038,no rain,,,,
Thursday,2/22/2018,2131,2612,4743,,,1094,5837,all ,,,,
Friday,2/23/2018,2535,6556,9092,,,3528,12620,week,,,,
Saturday,2/24/2018,4129,6592,10721,,,3485,14206,long,,,,
total,,,,,,,10816,45555,pollen city,,,,
LSE%,,,,,,,24%,,,,,,
Tuesday,2/13/2018,1481,2726,4207,,,491,4698,,,,,
Wednesday,2/14/2018,3063,4947,8010,,,1793,9803,V Day - Trivia,,,,
Thursday,2/15/2018,1710,3697,5407,,,1708,7115,Wild Shiners - LSE,,,,
Friday,2/16/2018,2985,5545,8530,,,2465,10995,,,,,
Saturday,2/17/2018,5566,7558,13124,,,4098,17222,lse 1380 day,,,,
total,,,,,,,10555,49835,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,2/6/2018,1632,2086,3718,,,1063,4781,conch,,,,
Wednesday,2/7/2018,1685,2768,4453,,,1042,5496,lse 418 day,,,,
Thursday,2/8/2018,1551,2663,4214,,,809,5023,,,,,
Friday,2/9/2018,2767,6862,9629,,,2332,11961,250 cater night,,,,
Saturday,2/10/2018,4576,6167,10744,,,3314,14058,900 cater day UF,,,,
total,,,,,,,8562,41321,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,1/30/2018,1552,2049,3601,,,599,4200,,,,,
Wednesday,1/31/2018,1307,2759,4068,,,608,4676,,,,,
Thursday,2/1/2018,1455,3321,4776,,,848,5624,EP in the LSE,,,,
Friday,2/2/2018,2532,5577,8111,,,2034,10145,,,,,
Saturday,2/3/2018,5324,6290,11614,,,4037,15652,Med Faire,,,,
total,,,,,,,8127,40297,,,,,
LSE%,,,,,,,20%,,,,,,
Tuesday,1/23/2018,1783,2133,3917,,,774,4691,,,,,
Wednesday,1/24/2018,1950,2450,4401,,,599,5001,,,,,
Thursday,1/25/2018,1937,3114,5052,,,911,5964,250 cater day,,,,
Friday,1/26/2018,2803,5282,8086,,,1744,9830,,,,,
Saturday,1/27/2018,4862,6044,10907,,,4411,15318,Med Faire,,,,
total,,,,,,,8441,40806,,,,,
LSE%,,,,,,,21%,,,,,,
Tuesday,1/16/2018,1731,2530,4262,,,1306,5569,240 cater day & no school,,,,
Wednesday,1/17/2018,1491,1966,3458,,,446,3905,,,,,
Thursday,1/18/2018,1801,2452,4254,,,1138,5393,,,,,
Friday,1/19/2018,2323,5309,7632,,,1514,9146,400 cater day,,,,
Saturday,1/20/2018,4574,5901,10476,,,2432,12909,,,,,
total,,,,,,,6838,36924,,,,,
LSE%,,,,,,,18.50%,,,,,,
Tuesday,1/9/2018,1154,2221,3376,,,415,3791,,,,,
Wednesday,1/10/2018,1305,2121,3426,,,662,4089,,,,,
Thursday,1/11/2018,2193,3092,5285,,,516,5802,,,,,
Friday,1/12/2018,1853,6248,8102,,,1746,9849,300 cater lse day/ 535 cater night,,,,
Saturday,1/13/2018,4430,5734,10164,,,3108,13272,,,,,
total,,,,,,,6449,36805,,,,,
LSE%,,,,,,,18%,,,,,,
Tuesday,1/2/2018,2186,2936,5123,,,1417,6540,CONCH,,,,
Wednesday,1/3/2018,1147,2584,3732,,,570,4302,pub school cxl,,,,
Thursday,1/4/2018,1780,2125,3905,,,677,4583,pub school cxl,,,,
Friday,1/5/2018,,,7170,,,1627,8797,,,,,
Saturday,1/6/2018,3860,4908,8768,,,2422,11191,,,,,
total,,,,,,,6716,35414,,,,,
LSE%,,,,,,,19%,,,,,,
