DATE,LUNCH,DINNER,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,352,
,,,,,,17004,43275.93,2257.52,
,,,,,,39%,,,
4/6/2021,2003,2417,4420,619,1413,2032,6452,373.45,
4/7/2021,1685,2380,4065,960,2303,3263,7328,217.21,
4/8/2021,1905,3166,5071,696,1424,2120,7192.04,448.9,
4/9/2021,2675,4980,7655,964,3828,4793,12448.08,593.88,
4/10/2021,2987,4390,7377,1666,3827,5452,12871.64,502.38,
,,,,,,17660,46291.76,2135.82,
,,,,,,38%,,,
3/30/2021,1046,1942,2988,776,1529,2305,5293.44,300.42,
3/31/2021,2123,2350,4474,1062,1721,2783,7257.46,253.6,
4/1/2021,2066,3547,5613,555,1729,2284,7896.84,553.22,
4/2/2021,2412,4932,7344,1053,3578,4631,11975,707.82,
4/3/2021,3138,4698,7836,1212,2896,4108,11944.92,425.87,
,,,,,,16111,44367.66,2240.93,
,,,,,,36%%,,,
3/23/2021,1629,1907,3537,1185,1589,2775,6311.68,360.61,
3/24/2021,1240,1972,3212,1223,1954,3178,6389.58,517.9,
3/25/2021,1798,1780,3578,1091,1699,2791,6368.63,299.61,
3/26/2021,1923,3665,5588,3828,4084,7913,13501.41,517.35,
3/27/2021,2622,4283,6905,1644,3158,4801,11706.64,546.8,
,,,,,,21458,44277.94,2242.27,
,,,,,,48%,,,
3/16/2021,1999,2743,4743,1509,1685,3194,7937.06,468.79,
3/17/2021,1782,2339,4121,1761,2540,4301,8422.96,555.89,
3/18/2021,1840,2259,4099,1805,2124,3929,8028.73,105.93,
3/19/2021,2300,3946,6246,2254,4082,6336,12582.09,531.8,
3/20/2021,3463,3818,7281,3180,3640,6820,14101.68,360.06,
,,,,,,24580,51072.52,2022.47,
,,,,,,48%,,,
3/9/2021,1391,2495,3887,1158,1914,3072,6959.63,345.4,
3/10/2021,1600,2617,4217,1806,2128,3934,8151.43,205.98,
3/11/2021,1645,2873,4518,1425,1727,3152,7669.86,320.47,
3/12/2021,1976,4765,6741,1642,4792,6435,13176.4,985.51,
3/13/2021,3473,3776,7249,3357,4683,8040,15289.43,233.8,
,,,,,,24633,51246.75,2091.16,
,,,,,,48%,,,
3/2/2021,1144,1017,2161,968,1512,2480,4641.67,139.1,
3/3/2021,1600,1630,3231,975,1642,2617,5847.86,383.08,
3/4/2021,1425,2845,4270,1669,1733,3402,7672.32,214.54,
3/5/2021,1607,3395,5002,1425,4572,5997,10999,597.62,
3/6/2021,2772,3846,6619,2607,4310,6917,13536.1,354.17,
,,,,,,21413,42696.95,1688.51,
,,,,,,50%,,,
2/23/2021,1187,1467,2654,1282,1862,3144,5798.58,136.43,0
2/24/2021,1398,1328,2726,801,1384,2188,4915.1,361.14,
2/25/2021,1133,1612,2744,1528,1560,3089,5833.39,287.84,
2/26/2021,2025,3428,5454,1474,4369,5843,11297.56,730.84,
2/27/2021,2919,3730,6649,2422,4336,6758,13407.72,742.59,
,,,,,,21022,41252.35,2258.84,
,,,,,,51%,,,
2/16/2021,917,1457,2374,685,1487,2172,4547.48,186.19,
2/17/2021,1321,1549,2871,767,1322,2090,4960.91,233.81,
2/18/2021,1068,1429,2497,981,2016,2997,5494.77,376.65,
2/19/2021,1118,3898,5016,1497,4459,5956,10973.03,387.88,
2/20/2021,2921,3668,5690,2941,4170,7112,13701.52,299.63,
,,,,,,20327,39677.71,1484.16,
,,,,,,,,,
2/9/2021,1021.4,1125.74,2147.14,968.17,1594.31,2562.48,4709.62,370.02,
2/10/2021,960,1355,2315,843,1278,2121,4437.14,162.65,
2/11/2021,1115,2323,3438,646,1936,2582,6019.99,551.06,
2/12/2021,1318,2795,4114,1641,4204,5846,9965.1,445.67,
2/13/2021,2802,4190,6992,2259,3962,6222,13215.13,503.72,
,,,,,,19333,38346.98,2033.12,
,,,,,,50%,,,
2/2/2021,905.8,895.9,1801.7,1094.21,1201.82,2296.03,4097.73,162.65,
2/3/2021,611.95,974.16,1586.11,677.48,825.05,1502.53,3088.64,230.06,
2/4/2021,857.4,1648.1,2505.5,730.35,1458.04,2188.39,4693.89,226.32,
2/5/2021,1277.1,2888.1,4165.2,1395.93,3705.08,5101.01,9266.21,698.2,
2/6/2021,2743.45,1798.15,4541.6,2547.81,2407.37,4955.18,9496.78,777.11,
,,,,,,16043.14,30643.25,2094.34,
,,,,,,52%,,,
1/26/2021,954,1582,2536,923,1329,2252,4789,222.03,
1/27/2021,1213,1001,2214,1081,1427,2508,4722,117.17,
1/28/2021,1201,1793,2994,1009,1708,2717,5711.28,264.83,
1/29/2021,1317,3556,4873,2212,5285,7497,12371.43,786.47,
1/30/2021,3228,3837,7065,2667,3578,6246,13310.77,452.09,
,,,,,,21220,40948,1842.59,
,,,,,,,,,
1/19/2021,893,1675,2568,661,758,1419,3987.71,118.24,
1/20/2021,1286,1948,3234,719,1530,2249,5483.9,233.8,
1/21/2021,1422,1784,3206,665,1751,2416,5621.57,72.76,
1/22/2021,1502,4358,5860,1559,3886,5446,11306.03,777.38,
1/23/2021,3032,3681,6713,2260,3682,5942,12654.85,547.32,
,,,,,,17472,39054.06,1749.5,
,,,,,,45%,,,
1/12/2021,1389,1039,2424,541,1253,1794,4218.64,271.25,
1/13/2021,1214,1656,2870,1128,1553,2681,5551.83,238.08,
1/14/2021,1033,2001,3034,809,1780,2589,5622.96,253.07,
1/15/2021,1543,2939,4482,1274,4935,6209,10691.65,684.01,
1/16/2021,3101,2910,6011,3095,3521,6616,12628.3,388.44,
,,,,,,19889,38713.38,1834.85,
,,,,,,51%,,,
1/5/2021,987,1383,2370,810,1709,2519,4889.59,68.48,
1/6/2021,708,1298,2000,1015,1423,2438,4438.95,257.88,
1/7/2021,1149,1598,2747,988,2728,3716,6463.74,283.02,
1/8/2021,1372,2534,3906,1682,4265,5947,9853.77,632.39,
1/9/2021,2572,1697,4269,2468,4095,6563,11192.65,262.69,
,,,,,,21183,36838.7,1504.46,
,,,,,,58%,,,
