DATE,DAY,NIGHT,SATCH Z,LSE D,LSE N,LSE TOT,TOTAL,,,,,,,,,,,,,,,,
7/28/2022,2568,3582,6150,829,2075,2904,9054,,,,,,,,,,,,,,,,
7/29/2022,3053,5872,8925,1752,3872,5625,14549,,,,,,,,,,,,,,,,
7/30/2022,4614,6197,10811,2259,2275,4535,15346,,,,,,,,,,,,,,,,
,,,,,,18132,56109,,,,,,,,,,,,,,,,
,,,,,,32%,,,,,,,,,,,,,,,,,
7/19/2022,2457,2425,4882,754,1334,2088,6969,,,,,,,,,,,,,,,,
7/20/2022,2921,4031,6952,1029,1990,3019,9972,,,,,,,,,,,,,,,,
7/21/2022,2463,4856,7319,882,1695,2577,9896,,,,,,,,,,,,,,,,
7/22/2022,2996,5910,8906,1650,3120,4770,13675,,,,,,,,,,,,,,,,
7/23/2022,4232,6386,10618,2018,3198,5216,15835,,,,,,,,,,,,,,,,
,,,,,,17670,56347,,,,,,,,,,,,,,,,
,,,,,,31%,,,,,,,,,,,,,,,,,
7/12/2022,2369,3679,6049,818,1813,2631,8680,,,,,,,,,,,,,,,,
7/13/2022,2805,4031,6838,1087,2149,3237,10073,,,,,,,,,,,,,,,,
7/14/2022,2467,4176,6642,872,3604,4477,11120,,,,,,,,,,,,,,,,
7/15/2022,4350,5557,9907,1384,3634,5019,14927,,,,,,,,,,,,,,,,
7/16/2022,4667,5674,10341,2826,3053,5879,16221,,,,,,,,,,,,,,,,
,,,,,,21243,61021,,,,,,,,,,,,,,,,
,,,,,,35%,,,,,,,,,,,,,,,,,
7/5/2022,2598,3355,5953,801,1489,2290,8243,,,,,,,,,,,,,,,,
7/6/2022,1745,3083,4828,959,1662,2621,7449,,,,,,,,,,,,,,,,
7/7/2022,2686,3505,6192,1424,1929,3353,9545,,,,,,,,,,,,,,,,
7/8/2022,2230,4844,7074,1434,3379,4812,11886,,,,,,,,,,,,,,,,
7/9/2022,4488,5197,9685,1528,2565,4093,13778,,,,,,,,,,,,,,,,
,,,,,,17169,50901,,,,,,,,,,,,,,,,
,,,,,,34%,,,,,,,,,,,,,,,,,
6/28/2022,2474,4144,6618,1536,2975,4511,11129,,,,,,,,,,,,,,,,
6/29/2022,3246,3818,7064,1071,2334,3405,10469,,,,,,,,,,,,,,,,
6/30/2022,2339,4293,6632,982,2216,3198,9831,,,,,,,,,,,,,,,,
7/1/2022,3409,5681,9090,1277,3433,4711,13800,,,,,,,,,,,,,,,,
7/2/2022,3609,5660,9269,1136,3450,4586,13855,,,,,,,,,,,,,,,,
,,,,,,20411,59084,,,,,,,,,,,,,,,,
,,,,,,35%,,,,,,,,,,,,,,,,,
6/21/2022,1594,2721,4316,1291,1661,2952,7268,,,,,,,,,,,,,,,,
6/22/2022,2411,3265,5676,953,2159,3112,8788,,,,,,,,,,,,,,,,
6/23/2022,2332,3265,6141,673,2281,2955,9096,,,,,,,,,,,,,,,,
6/24/2022,2732,5631,8362,1226,2879,4105,12467,,,,,,,,,,,,,,,,
6/25/2022,3867,6304,10171,2159,3701,5860,16032,,,,,,,,,,,,,,,,
,,,,,,18964,53651,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
6/14/2022,2312,3362,5674,875,2196,3071,8745,,,,,,,,,,,,,,,,
6/15/2022,3068,3720,6788,1095,1716,2810,9598,,,,,,,,,,,,,,,,
6/16/2022,2233,3596,5829,472,1924,2396,8225,,,,,,,,,,,,,,,,
6/17/2022,2560,5462,8022,1656,2708,4364,12385,,,,,,,,,,,,,,,,
6/18/2022,3513,4629,8142,1803,3156,4959,13100,,,,,,,,,,,,,,,,
,,,,,,17600,52053,,,,,,,,,,,,,,,,
,,,,,,34%,,,,,,,,,,,,,,,,,
6/7/2022,3097,3320,6418,1186,1756,2942,9360,,,,,,,,,,,,,,,,
6/8/2022,2825,3831,6656,860,1900,2760,9416,,,,,,,,,,,,,,,,
6/9/2022,2059,2791,5029,725,2037,2761,7790,,,,,,,,,,,,,,,,
6/10/2022,2382,5347,7729,1170,2865,4035,11763,,,,,,,,,,,,,,,,
6/11/2022,3915,5889,9805,2284,3975,6259,16064,,,,,,,,,,,,,,,,
,,,,,,18757,54393,,,,,,,,,,,,,,,,
,,,,,,34%,,,,,,,,,,,,,,,,,
5/31/2022,1900,3086,4986,962,1284,2246,7232,,,,,,,,,,,,,,,,
6/1/2022,2549,3622,6171,866,1928,2794,8765,,,,,,,,,,,,,,,,
6/2/2022,2243,3165,5408,739,1639,2378,7786,,,,,,,,,,,,,,,,
6/3/2022,2954,4396,7351,1225,4035,5260,12611,,,,,,,,,,,,,,,,
6/2/2022,3474,5538,9012,1683,1961,3643,12655,,,,,,,,,,,,,,,,
,,,,,,16321,49049,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
5/24/2022,2276,3587,5864,799,1928,2728,8591,,,,,,,,,,,,,,,,
5/25/2022,2321,3178,5499,824,1903,2727,8226,,,,,,,,,,,,,,,,
5/26/2022,1944,3717,5115,976,2025,3001,8116,,,,,,,,,,,,,,,,
