DATE,LUNCH,DINNER,SATCH Z,LSE day,LSE TOTAL,TOTAL,352,352 + TOTAL,BYPPO,LOLO,Paypal-gross
6/2/2020,1239,2920,4159,185,760,4919.14,434.97,0,27.2,,
6/3/2020,1736,2040,3776,454,1296,5072.79,67.95,25.15?,0,,
6/4/2020,1318,2147,3466,386,1392,4858,233.8,0,0,,
6/5/2020,1531,3895,5426,777,3564,8990.57,510.42,0,27.19,,
6/6/2020,2671,3686,6357,1154,3355,9712.21,655.39,0,0,,
,,,,,10367,33552.71,1902.53,,,,
,,,,,31%,65% of 2019,,,,,
5/26/2020,1481,2214,3695,588,1005,4700.35,207.05,0,0,,
5/27/2020,1265,2127,3392,416,1136,4528.4,390.25,78.27,45,,
5/28/2020,1504,3092,4597,201,737,5334.41,517.91,0,86.15,,
5/29/2020,1773,3572,5345,467,3526,8871.75,839.18,131.56,56.07,,
5/30/2020,2157,3113,5270,902,3080,8350.33,376.12,37,0,,
,,,,,9484,31783,2330.51,,,,
,,,,,30% of sales,76% of 2019,,,,,
5/19/2020,1462,1965,3427,391,919,4346.93,409.83,87.47,,,
5/20/2020,1423,2271,3694,266,1085,4779.42,329.57,61.53,,,
5/21/2020,1432,3257,4688,417,1696,5801.03,572.47,46.01,,,
5/22/2020,1499,4163,5663,538,2068,8270.54,795.03,127.93,89.15,,
5/23/2020,2320,4160,6480,877,2265,8745.35,753.3,,,,
,,,,,8033,31943.27,2860.2,,,,
,,,,,25%,,,,,,
5/12/2020,1034,1819,2853,282,1439,4292.07,266.44,458.57,,,
5/13/2020,1367,2566,3933,248,554,4487.19,222.03,719.43,,,
5/14/2020,1251,2292,3543,97,1195,4739.2,228.45,557.48,,,
5/15/2020,1595,4108,5703,588,2480,8183.63,816.43,956.04,,,
5/16/2020,2318,3406,5724,693,2722,8446.29,418.92,1239.3,,,
,,,,,,30148.38,1952.27,,,,
,,,,,,,,,,,
5/5/2020,1675,2435,4110,150,131,4392.05,468.14,375.04,41.73,,
5/6/2020,1193,1646,2839,165,767,3606.26,354.72,351.16,0,,
5/7/2020,1153,2552,3705,547,1130,4834.99,344.56,434.04,0,,
5/8/2020,2146,4709,6855,536,2198,9054.17,787.28,,0,,
5/9/2020,2802,4193,6995,548,2192,9186.97,797.73,1443,0,,
,,,,,6418,31074.44,2752.43,,,,
,,,,,21%,,,,,,
,,,,,,,,,,,
CORONA,LUNCH,DINNER,SATCH Z,352,Paypal-gross,TOTAL,BYPPO?,,,,
Tues Apr 28,1609,2244,3853,310.31,590.52,3853.61,,,,,
4/29/2020,1619,2356,3975,303.69,271.29,2975.36,,,,,
4/30/2020,1802,3114,4916,509.33,948.24? 825.24Z,4916.62,24.61,,,,
5/1/2020,2266,6247,8513,958.23,1545.12Z,8513.61,,,,,
5/2/2020,2918,4613,7530,612.6,1266.29Z,7530.88,,,,,
,,,,2694.16,,27790.08,,,,,
,,,,,,,,,,,
4/21/2020,1510,,3991,,,3991.52,499.71,,PP444.51Z,,455.21
4/22/2020,1872,2331,4203,,,4203.57,676.26,,PP538.30Z,,548.3
4/23/2020,1195,3047,4242,,,4242.15,501.3,,PP620.07,,637.36
4/24/2020,2065,4921,6986,,,6986.16,986.6,,1666.83,,
4/25/2020,2139,5628,7767,,,7767.23,879.57,,1138.81,,1286.08
,,,,,,27190.63,,,,,
4/14/2020,1456,2309,3765,,,3765,,,$520.05  PP521,,
4/15/2020,1221,2347,3568,,,3568,,,$600.28  PP501,,
4/16/2020,1433,3402,4836,,,4836,,,$705.31  PP451,,
4/17/2020,1843,5859,7703,,,7703,,,$887.87 PP1143,,
4/18/2020,2285,3908,6193,,,6193,,,$842.13,,
,,,,,,26065,,,,,
4/7/2020,1069,2253,3322,,,3322,,,$476.17  PP579,,
4/8/2020,971,2518,3489,,,3489,,,$292.12 PP518,,
4/9/2020,1371,2683,4054,,,4054,,,$617.95 PP551,,
4/10/2020,1940,4660,6600,,,6600,,,$799.33 PP1043,,
4/11/2020,2389,4014,6403,,,6403,,,$772.03 PP939.63,,
,,,,,,23868,,,,,
3/31/2020,1079,2658,3737,,,3737,,,352$667.71 PP552.83,,
4/1/2020,1763,2845,4608,,,4608,,,352$529.68 PP793.78,,
4/2/2020,1139,3169,4307,,,4307,,,352$615.82 PP823,,
4/3/2020,1829,4773,6602,,,6602,,,352$932.55 PP1512?,,
4/4/2020,2451,4735,7186,,,7186,,,352$842.67 PP1789?,,
,,,,,,26440,,,,,
3/24/2020,829,1892,2721,,,2721,,,352$429.62 PP$507,,
3/25/2020,1216,1523,2739,,,2739,,,3524364.89 PP$296.43,,
3/26/2020,1243,2684,3927,,,3927,,,352$640.96 PP$1024.36,,
3/27/2020,1742,5225,6968,,,6968,,,352$674.67 PP$1209.80,,
3/28/2020,1638,4018,5656,,,5656,,,352$807.88 PP1005.82,,
,,,,,,22011,,,,,
3/17/2020,1213,2104,3318,,,3439,121,,352$140.71 PP$196.57,,121 no nite
3/18/2020,1443,2456,3899,,,3899,COVID ,,352$$193.15 PP$290.07,,19
3/19/2020,1345,2479,3824,,,3824,,,352$@97.47 PP$76,,
3/20/2020,2505,4615,7120,,,7120,,,352 $640.52 PP$1002.76,,
3/21/2020,2755,3895,6651,,,6651,,,352$837.84 352$1074.47,,
,,,,,,24933,,,,,
,,,,,,,,,,,44% of same week 2019
3/10/2020,2305,3151,5456,,,7135,623,,352$238.61,,1679
3/11/2020,1935,3954,5889,,,7792,671,,352 $111.28,,2102
3/12/2020,2412,4080,6492,,,8808,480,,352 $268.58,,2316
3/13/2020,5379,5925,11304,,,14530,881,,352 $96.31 $3034 cater day on Z,,3226
3/14/2020,3683,6330,10013,,,13161,1525,,352 $391.11,,3148
,,,,,,51426,,,,,12471
,,,,,,,,,,,24 %
3/3/2020,2132,3090,5222,,,6839,315,,352 $20.33,,1617
3/4/2020,1815,3141,4956,,,6710,553,,352 $127.34,,1753
3/5/2020,2112,3593,5705,,,7798,463,,352 $126.27,,2093
